,bowler_name,date,inning,opposition,runs_conceded,wickets_taken,balls_bowled,num_dots,team,year,economy_rate
146,Ahsan Malik,2013-11-28,1,Scotland,24.0,2.0,24,7,Netherlands,11-13,6.0
147,Ahsan Malik,2014-03-17,1,United Arab Emirates,16.0,3.0,23,11,Netherlands,14-16,4.17391304348
148,Ahsan Malik,2014-03-19,2,Zimbabwe,29.0,2.0,25,12,Netherlands,14-16,6.96
149,Ahsan Malik,2014-03-21,1,Ireland,26.0,2.0,24,11,Netherlands,14-16,6.5
150,Ahsan Malik,2014-03-24,2,Sri Lanka,17.0,1.0,13,5,Netherlands,14-16,7.84615384615
151,Ahsan Malik,2014-03-27,1,South Africa,19.0,5.0,24,12,Netherlands,14-16,4.75
152,Ahsan Malik,2014-03-29,2,New Zealand,43.0,0.0,24,4,Netherlands,14-16,10.75
153,Ahsan Malik,2014-03-31,2,England,14.0,0.0,18,7,Netherlands,14-16,4.66666666667
154,Ahsan Malik,2015-06-30,2,Nepal,23.0,3.0,24,10,Netherlands,14-16,5.75
155,Ahsan Malik,2015-07-01,2,Nepal,8.0,1.0,12,7,Netherlands,14-16,4.0
156,Ahsan Malik,2015-07-02,2,Nepal,21.0,4.0,24,10,Netherlands,14-16,5.25
157,Ahsan Malik,2015-07-03,2,Nepal,24.0,3.0,23,9,Netherlands,14-16,6.26086956522
158,Ahsan Malik,2015-07-09,1,Afghanistan,36.0,3.0,24,9,Netherlands,14-16,9.0
159,Ahsan Malik,2015-07-11,2,Scotland,39.0,0.0,20,5,Netherlands,14-16,11.7
160,Ahsan Malik,2015-07-12,1,United Arab Emirates,17.0,2.0,24,13,Netherlands,14-16,4.25
161,Ahsan Malik,2016-02-03 00:00:00,2,United Arab Emirates,13.0,0.0,12,6,Netherlands,14-16,6.5
162,Ahsan Malik,2016-02-05 00:00:00,1,Scotland,40.0,2.0,31,11,Netherlands,14-16,7.74193548387
163,Aizaz Cheema,2011-09-16,2,Zimbabwe,17.0,2.0,21,8,Pakistan,11-13,4.85714285714
164,Aizaz Cheema,2011-11-25,1,Sri Lanka,30.0,3.0,24,6,Pakistan,11-13,7.5
165,Aizaz Cheema,2011-11-29,2,Bangladesh,9.0,1.0,12,7,Pakistan,11-13,4.5
166,Aizaz Cheema,2012-02-25,1,England,29.0,1.0,26,12,Pakistan,11-13,6.69230769231
167,Aizaz Cheema,2012-02-27,1,England,25.0,1.0,24,6,Pakistan,11-13,6.25
168,Aizaz Khan,2014-03-16,1,Nepal,16.0,0.0,20,10,Hong Kong,14-16,4.8
169,Aizaz Khan,2014-03-18,2,Afghanistan,38.0,1.0,19,4,Hong Kong,14-16,12.0
170,Aizaz Khan,2015-07-15,1,Nepal,6.0,1.0,25,19,Hong Kong,14-16,1.44
171,Aizaz Khan,2015-07-17,2,Ireland,28.0,1.0,13,3,Hong Kong,14-16,12.9230769231
172,Aizaz Khan,2015-07-21,1,Afghanistan,30.0,1.0,24,9,Hong Kong,14-16,7.5
173,Aizaz Khan,2015-07-25,2,Scotland,19.0,1.0,19,8,Hong Kong,14-16,6.0
174,Aizaz Khan,2015-11-21,2,Oman,19.0,1.0,21,9,Hong Kong,14-16,5.42857142857
175,Aizaz Khan,2015-11-25,1,Oman,21.0,3.0,25,12,Hong Kong,14-16,5.04
176,Aizaz Khan,2015-11-26,1,Oman,15.0,2.0,24,14,Hong Kong,14-16,3.75
177,Aizaz Khan,2015-11-28,1,Afghanistan,34.0,1.0,24,8,Hong Kong,14-16,8.5
178,Aizaz Khan,2016-01-30 00:00:00,1,Scotland,13.0,2.0,12,4,Hong Kong,14-16,6.5
179,Aizaz Khan,2016-01-31 00:00:00,1,Scotland,40.0,1.0,24,8,Hong Kong,14-16,10.0
180,Aizaz Khan,2016-02-19 00:00:00,1,Oman,34.0,0.0,25,7,Hong Kong,14-16,8.16
181,Aizaz Khan,2016-02-21 00:00:00,2,United Arab Emirates,34.0,1.0,22,6,Hong Kong,14-16,9.27272727273
182,Aizaz Khan,2016-02-22 00:00:00,1,Afghanistan,36.0,1.0,26,11,Hong Kong,14-16,8.30769230769
183,Ajantha Mendis,2008-10-10,1,Zimbabwe,14.0,4.0,18,9,Sri Lanka,08-10,4.66666666667
184,Ajantha Mendis,2008-10-12,2,Canada,17.0,4.0,24,16,Sri Lanka,08-10,4.25
185,Ajantha Mendis,2008-10-13,1,Pakistan,23.0,3.0,24,10,Sri Lanka,08-10,5.75
186,Ajantha Mendis,2009-06-08,1,Australia,20.0,3.0,24,14,Sri Lanka,08-10,5.0
187,Ajantha Mendis,2009-06-10,2,West Indies,25.0,2.0,24,9,Sri Lanka,08-10,6.25
188,Ajantha Mendis,2009-06-12,2,Pakistan,24.0,0.0,18,3,Sri Lanka,08-10,8.0
189,Ajantha Mendis,2009-06-14,2,Ireland,21.0,2.0,25,13,Sri Lanka,08-10,5.04
190,Ajantha Mendis,2009-06-16,2,New Zealand,9.0,3.0,18,10,Sri Lanka,08-10,3.0
191,Ajantha Mendis,2009-06-19,2,West Indies,7.0,2.0,26,20,Sri Lanka,08-10,1.61538461538
192,Ajantha Mendis,2009-06-21,2,Pakistan,34.0,0.0,24,5,Sri Lanka,08-10,8.5
193,Ajantha Mendis,2009-09-02,1,New Zealand,25.0,1.0,24,9,Sri Lanka,08-10,6.25
194,Ajantha Mendis,2009-09-04,1,New Zealand,21.0,1.0,24,9,Sri Lanka,08-10,5.25
195,Ajantha Mendis,2010-04-30,2,New Zealand,34.0,1.0,24,8,Sri Lanka,08-10,8.5
196,Ajantha Mendis,2010-05-03,2,Zimbabwe,9.0,0.0,12,3,Sri Lanka,08-10,4.5
197,Ajantha Mendis,2010-05-07,2,West Indies,23.0,3.0,25,14,Sri Lanka,08-10,5.52
198,Ajantha Mendis,2010-05-09,1,Australia,41.0,0.0,25,9,Sri Lanka,08-10,9.84
199,Ajantha Mendis,2010-05-13,2,England,19.0,0.0,24,11,Sri Lanka,08-10,4.75
200,Ajantha Mendis,2010-05-22,1,New Zealand,18.0,2.0,24,8,Sri Lanka,08-10,4.5
201,Ajantha Mendis,2010-05-23,1,New Zealand,17.0,2.0,26,11,Sri Lanka,08-10,3.92307692308
202,Ajantha Mendis,2011-08-08,2,Australia,16.0,7.0,24,15,Sri Lanka,11-13,4.0
203,Ajantha Mendis,2011-11-25,2,Pakistan,18.0,1.0,19,8,Sri Lanka,11-13,5.68421052632
204,Ajantha Mendis,2012-09-18,2,Zimbabwe,8.0,6.0,24,20,Sri Lanka,11-13,2.0
205,Ajantha Mendis,2012-09-27,1,New Zealand,46.0,1.0,25,5,Sri Lanka,11-13,11.04
206,Ajantha Mendis,2012-09-29,1,West Indies,12.0,2.0,24,18,Sri Lanka,11-13,3.0
207,Ajantha Mendis,2012-10-01,2,England,39.0,0.0,25,7,Sri Lanka,11-13,9.36
208,Ajantha Mendis,2012-10-04,2,Pakistan,27.0,2.0,24,11,Sri Lanka,11-13,6.75
209,Ajantha Mendis,2012-10-07,1,West Indies,11.0,4.0,25,15,Sri Lanka,11-13,2.64
210,Ajantha Mendis,2013-01-26,1,Australia,26.0,0.0,24,5,Sri Lanka,11-13,6.5
211,Ajantha Mendis,2013-01-28,2,Australia,25.0,1.0,18,6,Sri Lanka,11-13,8.33333333333
212,Ajantha Mendis,2013-08-02,1,South Africa,32.0,1.0,24,7,Sri Lanka,11-13,8.0
213,Ajantha Mendis,2013-08-04,1,South Africa,39.0,0.0,24,6,Sri Lanka,11-13,9.75
214,Ajantha Mendis,2013-08-06,1,South Africa,28.0,1.0,26,9,Sri Lanka,11-13,6.46153846154
215,Ajantha Mendis,2013-11-21,1,New Zealand,20.0,1.0,18,4,Sri Lanka,11-13,6.66666666667
216,Ajantha Mendis,2013-12-11,2,Pakistan,29.0,2.0,24,9,Sri Lanka,11-13,7.25
217,Ajantha Mendis,2014-02-12,2,Bangladesh,29.0,1.0,24,9,Sri Lanka,14-16,7.25
