batsman_name,runs_batter,balls,wicket,strike_rate,average
Shafiul Islam,0.0,4,0.0,0.0,
Shahadat Hossain,1.0,3,1.0,33.3333333333,1.0
Shahid Afridi,289.0,213,15.0,135.680751174,19.2666666667
Shahzaib Hasan,4.0,9,1.0,44.4444444444,4.0
Shaiman Anwar,206.0,178,7.0,115.730337079,29.4285714286
Shakib Al Hasan,200.0,165,8.0,121.212121212,25.0
Shakti Gauchan,1.0,20,1.0,5.0,1.0
Shane Watson,275.0,161,7.0,170.807453416,39.2857142857
Shapoor Zadran,0.0,5,0.0,0.0,
Sharad Vesawkar,58.0,92,2.0,63.0434782609,29.0
Shaun Marsh,48.0,42,5.0,114.285714286,9.6
Shaun Pollock,0.0,3,2.0,0.0,0.0
Shehan Jayasuriya,45.0,42,1.0,107.142857143,45.0
Shikhar Dhawan,25.0,21,2.0,119.047619048,12.5
Shivnarine Chanderpaul,75.0,74,4.0,101.351351351,18.75
Shoaib Malik,546.0,466,18.0,117.167381974,30.3333333333
Sikandar Raza,46.0,43,2.0,106.976744186,23.0
Simon Katich,28.0,23,1.0,121.739130435,28.0
Simon Smith,7.0,14,0.0,50.0,inf
Sohaib Maqsood,64.0,55,4.0,116.363636364,16.0
Sohail Tanvir,0.0,1,0.0,0.0,
Sompal Kami,5.0,16,0.0,31.25,inf
Soumya Sarkar,22.0,15,1.0,146.666666667,22.0
Stefan Kelly,3.0,5,0.0,60.0,inf
Stephan Myburgh,102.0,90,4.0,113.333333333,25.5
Stephen Fleming,1.0,3,1.0,33.3333333333,1.0
Steve Tikolo,45.0,44,4.0,102.272727273,11.25
Steven Davies,5.0,5,1.0,100.0,5.0
Steven Outerbridge,20.0,23,0.0,86.9565217391,inf
Steven Smith,50.0,61,4.0,81.9672131148,12.5
Stuart Broad,3.0,8,0.0,37.5,inf
Stuart Matsikenyeri,19.0,19,2.0,100.0,9.5
Stuart Poynter,11.0,9,1.0,122.222222222,11.0
Stuart Thompson,24.0,18,2.0,133.333333333,12.0
Subash Khakurel,25.0,27,0.0,92.5925925926,inf
Sulieman Benn,1.0,1,0.0,100.0,inf
Sultan Ahmed,6.0,7,0.0,85.7142857143,inf
Sunil Dhaniram,16.0,27,1.0,59.2592592593,16.0
Suresh Raina,282.0,255,6.0,110.588235294,47.0
Swapnil Patil,83.0,101,6.0,82.1782178218,13.8333333333
Tamim Iqbal,81.0,77,2.0,105.194805195,40.5
Tanmay Mishra,110.0,103,5.0,106.796116505,22.0
Tanwir Afzal,6.0,9,1.0,66.6666666667,6.0
Tatenda Taibu,82.0,81,2.0,101.234567901,41.0
Thilina Kandamby,8.0,16,1.0,50.0,8.0
Thisara Perera,47.0,54,3.0,87.037037037,15.6666666667
Thomas Odoyo,36.0,53,5.0,67.9245283019,7.2
Tillakaratne Dilshan,348.0,339,12.0,102.654867257,29.0
Tim Bresnan,8.0,7,0.0,114.285714286,inf
Tim Gruijters,4.0,9,1.0,44.4444444444,4.0
Tim Paine,5.0,4,1.0,125.0,5.0
Tim Southee,2.0,2,0.0,100.0,inf
Timycen Maruma,7.0,14,2.0,50.0,3.5
Tom Cooper,105.0,106,4.0,99.0566037736,26.25
Tom Latham,43.0,42,2.0,102.380952381,21.5
Tom de Grooth,50.0,49,3.0,102.040816327,16.6666666667
Tony Suji,10.0,23,2.0,43.4782608696,5.0
Travis Birt,24.0,26,2.0,92.3076923077,12.0
Travis Dowlin,13.0,15,1.0,86.6666666667,13.0
Travis Head,25.0,16,0.0,156.25,inf
Trent Johnston,45.0,35,1.0,128.571428571,45.0
Tyrone Kane,1.0,1,0.0,100.0,inf
Tyson Gordon,12.0,21,1.0,57.1428571429,12.0
Umair Ali,13.0,10,2.0,130.0,6.5
Umar Akmal,623.0,506,15.0,123.122529644,41.5333333333
Umar Amin,6.0,9,2.0,66.6666666667,3.0
Umar Gul,20.0,28,0.0,71.4285714286,inf
Upul Tharanga,5.0,7,1.0,71.4285714286,5.0
Usman Ghani,49.0,44,2.0,111.363636364,24.5
Usman Mushtaq,8.0,19,1.0,42.1052631579,8.0
Vaibhav Wategaonkar,10.0,9,1.0,111.111111111,10.0
Vani Morea,8.0,7,2.0,114.285714286,4.0
Vaughn van Jaarsveld,0.0,1,1.0,0.0,0.0
Vernon Philander,3.0,8,1.0,37.5,3.0
Virat Kohli,296.0,219,8.0,135.159817352,37.0
Virender Sehwag,53.0,30,1.0,176.666666667,53.0
Vusi Sibanda,81.0,82,4.0,98.7804878049,20.25
Wahab Riaz,13.0,29,1.0,44.8275862069,13.0
Waqas Barkat,22.0,23,1.0,95.652173913,22.0
Waqas Khan,13.0,21,0.0,61.9047619048,inf
Wavell Hinds,14.0,20,1.0,70.0,14.0
Wayne Parnell,6.0,7,0.0,85.7142857143,inf
Wesley Barresi,144.0,130,6.0,110.769230769,24.0
William Porterfield,55.0,64,3.0,85.9375,18.3333333333
Younis Khan,198.0,146,6.0,135.616438356,33.0
Yusuf Pathan,47.0,34,4.0,138.235294118,11.75
Yuvraj Singh,333.0,279,10.0,119.35483871,33.3
Zeeshan Maqsood,57.0,43,2.0,132.558139535,28.5
Zeeshan Siddiqui,6.0,5,1.0,120.0,6.0
Ziaur Rahman,19.0,13,0.0,146.153846154,inf
Zubin Surkari,4.0,10,1.0,40.0,4.0
Zulqarnain Haider,1.0,5,1.0,20.0,1.0
