batsman_name,runs_batter,balls,wicket,strike_rate,average
Roelof van der Merwe,84.0,53,3.0,158.490566038,28.0
Roger Telemachus,5.0,3,0.0,166.666666667,inf
Rohan Mustafa,29.0,26,2.0,111.538461538,14.5
Rohit Sharma,156.0,87,4.0,179.310344828,39.0
Ronnie Hira,1.0,2,1.0,50.0,1.0
Rory McCann,1.0,2,1.0,50.0,1.0
Ross Taylor,235.0,155,9.0,151.612903226,26.1111111111
Rubel Hossain,8.0,5,0.0,160.0,inf
Runako Morton,19.0,19,2.0,100.0,9.5
Rustam Bhatti,7.0,6,2.0,116.666666667,3.5
Rusty Theron,0.0,1,0.0,0.0,
Ryan Flannigan,0.0,1,1.0,0.0,0.0
Ryan Harris,2.0,1,1.0,200.0,2.0
Ryan McLaren,9.0,13,1.0,69.2307692308,9.0
Ryan Sidebottom,5.0,4,0.0,125.0,inf
Ryan ten Doeschate,24.0,16,0.0,150.0,inf
S Badrinath,19.0,12,1.0,158.333333333,19.0
Saad Nasim,1.0,3,1.0,33.3333333333,1.0
Sabbir Rahman,39.0,29,2.0,134.482758621,19.5
Sachithra Senanayake,18.0,13,2.0,138.461538462,9.0
Saeed Ajmal,27.0,26,4.0,103.846153846,6.75
Safyaan Sharif,3.0,5,1.0,60.0,3.0
Sajid Mahmood,0.0,1,0.0,0.0,
Salman Butt,38.0,24,3.0,158.333333333,12.6666666667
Sam Billings,66.0,43,3.0,153.488372093,22.0
Samit Patel,33.0,27,5.0,122.222222222,6.6
Samiullah Shenwari,174.0,108,10.0,161.111111111,17.4
Samuel Badree,9.0,14,2.0,64.2857142857,4.5
Sanath Jayasuriya,3.0,3,0.0,100.0,inf
Sanjayan Thuraisingam,0.0,1,1.0,0.0,0.0
Saqlain Haider,0.0,1,1.0,0.0,0.0
Sarfraz Ahmed,30.0,23,3.0,130.434782609,10.0
Sayed Shirzad,1.0,2,1.0,50.0,1.0
Scott Styris,44.0,21,3.0,209.523809524,14.6666666667
Sean Williams,45.0,34,3.0,132.352941176,15.0
Seekkuge Prasanna,6.0,5,0.0,120.0,inf
Shadeep Silva,14.0,19,0.0,73.6842105263,inf
Shafiqullah,131.0,67,5.0,195.52238806,26.2
Shafiul Islam,2.0,6,2.0,33.3333333333,1.0
Shaheed Keshvani,0.0,1,0.0,0.0,
Shahid Afridi,349.0,236,21.0,147.881355932,16.619047619
Shaiman Anwar,24.0,22,2.0,109.090909091,12.0
Shakib Al Hasan,92.0,65,5.0,141.538461538,18.4
Shakti Gauchan,12.0,23,2.0,52.1739130435,6.0
Shane Bond,12.0,16,5.0,75.0,2.4
Shane Watson,67.0,32,3.0,209.375,22.3333333333
Shapoor Zadran,1.0,8,2.0,12.5,0.5
Sharad Vesawkar,77.0,44,3.0,175.0,25.6666666667
Shaun Pollock,2.0,3,1.0,66.6666666667,2.0
Shaun Tait,2.0,5,1.0,40.0,2.0
Shehan Jayasuriya,33.0,19,3.0,173.684210526,11.0
Shem Ngoche,7.0,22,4.0,31.8181818182,1.75
Shingi Masakadza,8.0,9,2.0,88.8888888889,4.0
Shivnarine Chanderpaul,27.0,23,2.0,117.391304348,13.5
Shoaib Akhtar,16.0,13,2.0,123.076923077,8.0
Shoaib Malik,119.0,100,10.0,119.0,11.9
Sikandar Raza,26.0,25,5.0,104.0,5.2
Simon Smith,6.0,15,2.0,40.0,3.0
Sohag Gazi,8.0,7,1.0,114.285714286,8.0
Sohaib Maqsood,23.0,14,2.0,164.285714286,11.5
Sohail Tanvir,50.0,48,5.0,104.166666667,10.0
Sompal Kami,55.0,41,4.0,134.146341463,13.75
Sreesanth,1.0,4,1.0,25.0,1.0
